Cod,Nome do alimento,Nível 1 ,Nível 2,Nível 3 ,"Energia
[kcal] ","Energia
[kJ] ","Lípidos
[g]","Ácidos gordos saturados
[g] ","Ácidos gordos monoinsaturados 
[g]","Ácidos gordos polinsaturados 
[g]","Ácido linoleico 
[g] ","Ácidos gordos trans 
[g]","Hidratos de carbono 
[g]","Açúcares 
[g] ","Oligossacáridos 
[g] ","Amido 
[g]","Fibra  
[g]","Proteínas 
[g] ","Sal  
[g]","Álcool 
[g] ","Água 
[g] ","Ácidos orgânicos 
[g] ","Colesterol 
[mg]","Vitamina A  
[µg]","Caroteno 
[µg]","Vitamina D 
[µg]","alfa-tocoferol 
[mg]","Tiamina 
[mg] ","Riboflavina 
[mg] ","Niacina 
[mg]","Equivalentes de niacina 
[mg]","Triptofano/60 
[mg]","Vitamina B6 
[mg]","Vitamina B12 
[µg]","Vitamina C 
[mg]","Folatos 
[µg]","Cinza 
[g]","Sódio 
[mg]","Potássio 
[mg] ","Cálcio 
[mg]","Fósforo 
[mg]","Magnésio 
[mg]","Ferro 
[mg]","Zinco 
[mg]","Selénio 
[µg]","Iodo 
[µg]",alimento_hc
771,Café solúvel em pó com cafeína,"Café, cacau, chá e tisanas","Ingredientes para café, cacau, chá e tisanas de ervas",Ingredientes de café,272,1140,0.5,0.2,0,0.2,0.2,0,41.1,3,0,0,21.5,14.9,0.1,0,2.9,0,0,0,0,0,0,0.04,0.21,25,28,3,0,0,0,0,9.1,42,3250,89,320,220,0.8,0.2,,,Café solúvel em pó com cafeína (41.1g HC/100g)
773,Café solúvel em pó descafeinado,"Café, cacau, chá e tisanas","Ingredientes para café, cacau, chá e tisanas de ervas",Ingredientes de café,274,1150,0.2,0.1,0,0.1,0.1,0,42.6,3,0,0,21.5,14.7,0.1,0,2.8,0,0,0,0,0,0,0,0.21,25,28,2.9,0,0,0,0,8.93,55,3420,97,370,270,1.3,0.2,,,Café solúvel em pó descafeinado (42.6g HC/100g)
767,"Café, infusão - bica (3 marcas)","Café, cacau, chá e tisanas","Bebidas quentes e similares (café, cacau, chá e tisanas de ervas)",Bebidas de café,4,16,0.1,0,0,0.1,0,0,0.3,0,0,0.3,0,0.4,0,0,96.2,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0.52,3,270,3,11,10,0,0,,,"Café, infusão - bica (3 marcas) (0.3g HC/100g)"
769,"Café, infusão - café de cafeteira (3 marcas)","Café, cacau, chá e tisanas","Bebidas quentes e similares (café, cacau, chá e tisanas de ervas)",Bebidas de café,2,9,0,0,0,0,0,0,0.3,0,0,0.3,0,0.2,0,0,97.8,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0.3,1,150,2,10,5,0,0,,,"Café, infusão - café de cafeteira (3 marcas) (0.3g HC/100g)"
768,"Café, infusão - carioca (2 marcas)","Café, cacau, chá e tisanas","Bebidas quentes e similares (café, cacau, chá e tisanas de ervas)",Bebidas de café,2,9,0,0,0,0,0,0,0.3,0,0,0.3,0,0.2,0,0,98.5,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0.2,2,110,1,5,5,0,0,,,"Café, infusão - carioca (2 marcas) (0.3g HC/100g)"
770,"Café, infusão - valor médio (bica 60% e café de cafeteira 40%)","Café, cacau, chá e tisanas","Bebidas quentes e similares (café, cacau, chá e tisanas de ervas)",Bebidas de café,3,14,0.1,0,0,0.1,0,0,0.3,0,0,0.3,0,0.3,0,0,97,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0.43,2,220,3,11,8,0,0,,,"Café, infusão - valor médio (bica 60% e café de cafeteira 40%) (0.3g HC/100g)"
1050,Caldeirada de bacalhau,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",67,279,2.1,1,0.5,0.7,0.57,0,7.1,2,0.2,5,1.2,4.2,0.9,0,83.9,0,8,56,254,0.7,0.54,0.1,0.03,0.83,1.61,0.77,0.23,0.15,17.4,21,1.33,350,250,17,42,14,0.4,0.3,,,Caldeirada de bacalhau (7.1g HC/100g)
1049,Caldeirada de bacalhau com enchidos e massa,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",146,610,8.5,2.8,3.7,1.2,0.964,0,9.7,2,0.1,7.7,1.5,7,1.3,0,71.3,0,25,81,477,0.9,0.44,0.13,0.06,1.2,2.6,1.44,0.17,0.29,31.2,34,1.85,540,230,39,79,21,1.7,0.7,,,Caldeirada de bacalhau com enchidos e massa (9.7g HC/100g)
134,Caldeirada de cabrito com azeite e banha,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",119,500,4.3,1.1,2.4,0.4,0.311,0.1,8.3,0.9,0,7.3,0.9,11.3,0.8,0,73.5,0,31,15,92,0,0.34,0.11,0.12,2.2,5.98,2.42,0.26,0.33,9.1,15,1.74,330,310,10,110,16,0.5,1.9,,,Caldeirada de cabrito com azeite e banha (8.3g HC/100g)
135,Caldeirada de cabrito com azeite e margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",116,488,4,1.3,1.9,0.5,0.439,0.1,8.3,0.9,0,7.3,0.9,11.3,0.9,0,73.7,0,30,23,97,0,0.33,0.11,0.12,2.2,5.98,2.42,0.26,0.33,9.1,15,1.78,340,310,10,110,16,0.5,1.9,,,Caldeirada de cabrito com azeite e margarina (8.3g HC/100g)
833,Caldeirada de enguias,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",171,709,11.9,3.5,1.6,3.9,0.16,0,8.2,1.7,0.2,6.3,1.1,6.6,0.6,0.3,70.2,0,10,369,112,4.6,1.42,0.15,0.08,0.95,2.51,1.24,0.22,0.54,7.4,13,1.53,240,280,68,100,16,0.5,1.2,,,Caldeirada de enguias (8.2g HC/100g)
1048,Caldeirada de enguias à moda de Aveiro,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",245,1010,21.4,5.8,6.5,5.3,0.689,0,5.3,0.7,0.2,4.4,0.7,7.4,0.7,0,63.5,0,16,446,68,7.8,1.84,0.22,0.14,1.1,2.5,1.4,0.22,0.93,9.3,20,1.53,290,250,80,140,16,0.5,1.4,,,Caldeirada de enguias à moda de Aveiro (5.3g HC/100g)
1052,Caldeirada de pargo e peixe-espada-preto,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",138,575,9.8,1.5,7.4,0.8,0.619,0,4.4,1.3,0.1,2.9,0.8,7.2,0.7,0.3,75.9,0,10,31,161,1.7,1.82,0.11,0.03,2.3,3.64,1.35,0.26,0.67,11.2,17,1.41,280,290,15,92,20,0.7,0.4,,,Caldeirada de pargo e peixe-espada-preto (4.4g HC/100g)
1053,Caldeirada de peixe,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",84,350,3.5,0.5,2.4,0.4,0.266,0,4.4,1.3,0.1,2.9,0.8,7.5,0.8,0.4,81.4,0,17,61,186,5.9,0.99,0.09,0.04,1.2,2.64,1.41,0.2,4.2,12.7,17,1.45,320,260,36,110,28,1.3,0.5,,,Caldeirada de peixe (4.4g HC/100g)
1051,Caldeirada de safio com amêijoas,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",80,335,2.7,0.5,1.6,0.4,0.154,0,5.8,1.4,0.1,4.3,0.9,6.9,0.4,0.4,81.9,0,18,116,202,25,0.96,0.09,0.04,1.1,2.44,1.33,0.33,3.5,14.9,19,1.02,160,290,49,96,25,1.2,0.6,,,Caldeirada de safio com amêijoas (5.8g HC/100g)
1127,Caldeirada de safio com batatas,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",81,339,3.1,0.6,2.2,0.4,0.2,0,7.2,1.9,0.2,5.3,1.3,4.5,0.7,0.6,83.4,0,11,116,323,17.7,1.15,0.11,0.03,0.88,2.13,1.03,0.27,0.06,16.6,19.8,1.5,310,310,56,73,18,0.6,0.5,,,Caldeirada de safio com batatas (7.2g HC/100g)
895,"Caldeirada de safio, raia e tamboril",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",98,412,2.9,0.4,2.1,0.3,0.215,0,9.8,1.8,0.2,7.8,1.3,7,0.9,0.3,76,0,14,44,113,6.1,0.87,0.12,0.02,1.2,2.79,1.33,0.27,0.1,8.9,17,1.85,370,330,45,100,20,0.4,0.4,,,"Caldeirada de safio, raia e tamboril (9.8g HC/100g)"
300,Caldo preparado com cubo de carne de galinha (diluição 2%),"Temperos, molhos e condimentos",Extratos salgados e ingredientes para molhos,Cubos de caldo ou granulado (base de caldo),5,20,0.3,0.1,0.1,0.1,0.1,0,0.2,0,0,0.2,0,0.3,0.8,0,98.3,0,0,1,0,0.1,0.01,0.01,0.01,0.09,0.14,0.06,0.01,0.01,0,0.1,0.9,330,8,6,4,1,0,0.1,,,Caldo preparado com cubo de carne de galinha (diluição 2%) (0.2g HC/100g)
